Model,AgentWins,RandomWins,WinRate
td_gammon_selfplay_50000.pth,6986,3014,0.6986
td_gammon_selfplay_640000.pth,7534,2466,0.7534
td_gammon_selfplay_15000.pth,6776,3224,0.6776
td_gammon_selfplay_210000.pth,6389,3611,0.6389
td_gammon_selfplay_140000.pth,5999,4001,0.5999
td_gammon_selfplay_0.pth,6125,3875,0.6125
td_gammon_selfplay_995000.pth,7766,2234,0.7766
td_gammon_selfplay_265000.pth,6921,3079,0.6921
td_gammon_selfplay_735000.pth,7599,2401,0.7599
td_gammon_selfplay_410000.pth,7339,2661,0.7339
td_gammon_selfplay_535000.pth,7478,2522,0.7478
td_gammon_selfplay_445000.pth,7415,2585,0.7415
td_gammon_selfplay_825000.pth,7558,2442,0.7558
td_gammon_selfplay_295000.pth,7178,2822,0.7178
td_gammon_selfplay_190000.pth,5908,4092,0.5908
td_gammon_selfplay_730000.pth,7540,2460,0.754
td_gammon_selfplay_470000.pth,7427,2573,0.7427
td_gammon_selfplay_155000.pth,5999,4001,0.5999
td_gammon_selfplay_305000.pth,7304,2696,0.7304
td_gammon_selfplay_870000.pth,7608,2392,0.7608
td_gammon_selfplay_885000.pth,7629,2371,0.7629
td_gammon_selfplay_895000.pth,7660,2340,0.766
td_gammon_selfplay_420000.pth,7418,2582,0.7418
td_gammon_selfplay_130000.pth,6042,3958,0.6042
td_gammon_selfplay_85000.pth,5449,4551,0.5449
td_gammon_selfplay_835000.pth,7567,2433,0.7567
td_gammon_selfplay_480000.pth,7334,2666,0.7334
td_gammon_selfplay_540000.pth,7561,2439,0.7561
td_gammon_selfplay_375000.pth,7403,2597,0.7403
td_gammon_selfplay_245000.pth,6939,3061,0.6939
td_gammon_selfplay_475000.pth,7416,2584,0.7416
td_gammon_selfplay_930000.pth,7665,2335,0.7665
td_gammon_selfplay_550000.pth,7514,2486,0.7514
td_gammon_selfplay_655000.pth,7532,2468,0.7532
td_gammon_selfplay_385000.pth,7320,2680,0.732
td_gammon_selfplay_665000.pth,7588,2412,0.7588
td_gammon_selfplay_850000.pth,7626,2374,0.7626
td_gammon_selfplay_705000.pth,7596,2404,0.7596
td_gammon_selfplay_500000.pth,7333,2667,0.7333
td_gammon_selfplay_205000.pth,6269,3731,0.6269
td_gammon_selfplay_855000.pth,7597,2403,0.7597
td_gammon_selfplay_860000.pth,7612,2388,0.7612
td_gammon_selfplay_695000.pth,7550,2450,0.755
td_gammon_selfplay_170000.pth,5908,4092,0.5908
td_gammon_selfplay_10000.pth,6606,3394,0.6606
td_gammon_selfplay_75000.pth,6207,3793,0.6207
td_gammon_selfplay_270000.pth,7177,2823,0.7177
td_gammon_selfplay_880000.pth,7603,2397,0.7603
td_gammon_selfplay_590000.pth,7537,2463,0.7537
td_gammon_selfplay_945000.pth,7661,2339,0.7661
td_gammon_selfplay_780000.pth,7511,2489,0.7511
td_gammon_selfplay_985000.pth,7677,2323,0.7677
td_gammon_selfplay_620000.pth,7539,2460,0.7539
td_gammon_selfplay_580000.pth,7509,2491,0.7509
td_gammon_selfplay_770000.pth,7535,2465,0.7535
td_gammon_selfplay_485000.pth,7407,2593,0.7407
td_gammon_selfplay_645000.pth,7507,2493,0.7507
td_gammon_selfplay_110000.pth,5633,4367,0.5633
td_gammon_selfplay_495000.pth,7489,2511,0.7489
td_gammon_selfplay_425000.pth,7450,2550,0.745
td_gammon_selfplay_80000.pth,6171,3829,0.6171
td_gammon_selfplay_175000.pth,5903,4097,0.5903
td_gammon_selfplay_180000.pth,5962,4038,0.5962
td_gammon_selfplay_605000.pth,7502,2498,0.7502
td_gammon_selfplay_95000.pth,5491,4509,0.5491
td_gammon_selfplay_360000.pth,7373,2627,0.7373
td_gammon_selfplay_260000.pth,6923,3077,0.6923
td_gammon_selfplay_325000.pth,7369,2631,0.7369
td_gammon_selfplay_615000.pth,7483,2517,0.7483
td_gammon_selfplay_215000.pth,6452,3548,0.6452
td_gammon_selfplay_345000.pth,7368,2632,0.7368
td_gammon_selfplay_910000.pth,7671,2329,0.7671
td_gammon_selfplay_875000.pth,7728,2272,0.7728
td_gammon_selfplay_380000.pth,7404,2596,0.7404
td_gammon_selfplay_900000.pth,7658,2342,0.7658
td_gammon_selfplay_635000.pth,7529,2471,0.7529
td_gammon_selfplay_950000.pth,7659,2341,0.7659
td_gammon_selfplay_30000.pth,7237,2763,0.7237
td_gammon_selfplay_565000.pth,7502,2498,0.7502
td_gammon_selfplay_100000.pth,5399,4601,0.5399
td_gammon_selfplay_490000.pth,7432,2568,0.7432
td_gammon_selfplay_935000.pth,7601,2399,0.7601
td_gammon_selfplay_105000.pth,5579,4421,0.5579
td_gammon_selfplay_830000.pth,7589,2411,0.7589
td_gammon_selfplay_235000.pth,6804,3196,0.6804
td_gammon_selfplay_840000.pth,7553,2447,0.7553
